Day,Precmm
1,0.0
2,0.0
3,0.0
5,1.404329609
6,0.0
7,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
18,0.0
20,0.0
23,0.0
24,0.0
25,0.0
30,0.0
34,0.0
37,0.0
38,0.0
42,0.0
49,0.0
50,0.0
53,0.0
57,0.0
60,0.0
63,0.0
87,0.0
90,9.0
94,0.0
98,0.0
100,0.0
102,14.0
106,25.0
134,29.0
138,1.404329609
142,0.0
146,0.0
148,0.01
150,0.8
154,0.0
156,11.0
158,15.0
194,2.0
198,0.0
202,0.0
206,2.0
214,0.6
218,0.01
222,0.0
225,1.0
226,0.0
230,1.404329609
232,22.0
233,22.0
234,37.0
237,0.0
238,20.0
239,0.11
240,0.0
241,0.4
242,4.01
243,1.0
246,0.4
247,0.01
248,0.01
249,0.0
250,2.0
251,2.0
252,0.6
253,5.4043296089999995
254,13.0
255,0.0
256,4.0
257,0.0
258,0.9
259,0.0
260,8.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,5.0
267,0.01
268,9.0
270,13.0
271,0.0
272,0.5
273,0.0
274,28.0
276,0.01
277,0.0
278,1.414329609
279,2.404329609
280,6.0
282,21.01
284,17.0
286,10.0
287,10.0
288,0.0
289,30.0
290,0.0
292,2.404329609
293,0.0
294,35.0
295,0.0
296,0.0
297,29.404329609
299,0.0
300,0.0
301,0.0
302,0.0
303,3.0
304,0.0
305,0.7
306,0.0
307,0.0
308,1.0
309,0.0
310,0.01
312,2.404329609
314,7.0
315,0.0
316,0.01
317,0.0
318,0.6
319,0.0
320,0.0
321,0.0
322,1.404329609
323,1.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,7.0
335,0.0
336,0.0
337,0.0
338,0.0
340,0.0
341,0.0
342,0.0
344,0.0
345,0.0
346,0.01
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.01
357,0.0
358,0.01
360,0.0
361,16.0
362,0.0
364,0.0
365,0.0
367,0.0
368,0.6
369,0.0
370,0.2
373,0.0
374,0.0
393,0.0
396,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.01
410,0.0
411,0.0
417,0.0
419,0.0
421,0.0
422,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,3.0
432,0.02
433,0.0
434,0.0
436,0.0
437,0.0
440,0.0
441,0.601141732
442,0.0
443,0.0
444,0.0
445,16.0
446,0.0
448,2.0
449,0.0
450,0.0
452,0.0
453,0.0
454,1.0
456,0.0
457,0.0
458,0.0
459,0.5
460,0.01
461,13.01
462,10.0
464,0.0
465,0.611141732
466,0.0
468,6.0
469,18.0
470,0.5
472,0.0
473,0.01
474,0.01
475,3.0
476,3.0
477,0.0
478,0.0
480,0.4
482,0.7
483,0.0
485,2.0
